OBJECTID,dcat_Catalog_dct_title,dcat_Catalog_dct_description,dcat_Catalog_dct_publisher,dcat_Catalog_dcat_contact_Email,dcat_Catalog_foaf_homepage,dcat_Dataset,dcat_Dataset_dct_title,dcat_Dataset_dct_description,dcat_Dataset_dct_publisher,dcat_Dataset_dcat_theme,dcat_Dataset_dct_accrualPeriodic,dcat_Dataset_dcat_keyword,dcat_Distribution,dcat_Distribution_leg_TOU_AWType,dcat_Distribution_leg_TOU_AName,dcat_Distribution_leg_TOU_DPBSRT,dcat_Distribution_leg_TOU_PDCTyp,dcat_Distribution_dcat_downURL,dcat_Distribution_dcat_accessURL,dcat_Distribution_dct_format,dcat_Distribution_dcat_mediaType
11,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/13d091b46ddd4a31a5256a7697d8a977/about,„Kancelária prvého kontaktu - počet vybavených občanov“@sk,"„Dataset obsahuje počty občanov, ktorí boli vybavení v Kancelárii prvého kontaktu na Magistráte mesta Košice.“@sk",„https://www.kosice.sk“,REGI,IRREG,"„kancelária prvého kontaktu“@sk, „KPK“@sk, „občan“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=13d091b46ddd4a31a5256a7697d8a977&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/13d091b46ddd4a31a5256a7697d8a977/explore,https://opendata.kosice.sk/datasets/13d091b46ddd4a31a5256a7697d8a977/explore,csv,text/csv
12,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/e88d914c920b44d99255e28011f112d0/about,„Komisie Mestského zastupiteľstva v Košiciach“@sk,„Dataset obsahuje zoznam členov jednotlivých komisií Mestského zastupiteľstva v Košiciach.“@sk,„https://www.kosice.sk“,REGI,IRREG,"„komisie“@sk, „mestské zastupiteľstvo“@sk, „poslanci“@sk, „odborníci“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=e88d914c920b44d99255e28011f112d0&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/e88d914c920b44d99255e28011f112d0/explore,https://opendata.kosice.sk/datasets/e88d914c920b44d99255e28011f112d0/explore,csv,text/csv
13,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/c8fa2f1786ad46e08802ba0d0bab5ec0/about,„Komunálne voľby 2022 - volebné miestnosti v Košiciach“@sk,„Dataset obsahuje zoznam volebných miestnosti v Košiciach pre komunálne voľby 2022.“@sk,„https://www.kosice.sk“,REGI,IRREG,"„komunálne voľby“@sk, „volebný okrsok“@sk, „volebná miestnosť“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=c8fa2f1786ad46e08802ba0d0bab5ec0&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/c8fa2f1786ad46e08802ba0d0bab5ec0/explore,https://opendata.kosice.sk/datasets/c8fa2f1786ad46e08802ba0d0bab5ec0/explore,csv,text/csv
14,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/d37d246393b747e2be048fcec3c5c2c3/about,„Komunálne voľby 2022 - volebné obvody v Košiciach“@sk,„Dataset obsahuje zoznam volebných obvodov (rozdelenie mestských častí do volebných obvodov) pre komunálne voľby 2022.“@sk,„https://www.kosice.sk“,REGI,IRREG,"„komunálne voľby“@sk, „volebný okrsok“@sk, „mestská časť“@sk, „počet poslancov“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=d37d246393b747e2be048fcec3c5c2c3&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/d37d246393b747e2be048fcec3c5c2c3/explore,https://opendata.kosice.sk/datasets/d37d246393b747e2be048fcec3c5c2c3/explore,csv,text/csv
15,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/50fb18d046a14c79881b9a77c181e8b8/about,„Komunálne voľby 2022 - zoznam zaregistrovaných kandidátov do Mestského zastupiteľstva v Košiciach“@sk,„Dataset obsahuje zoznam zaregistrovaných kandidátov do Mestského zastupiteľstva v Košiciach.“@sk,„https://www.kosice.sk“,REGI,IRREG,"„komunálne voľby“@sk, „samospráva“@sk, „mestské zastupiteľstvo“@sk, „kandidát“@sk, „poslanec“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=50fb18d046a14c79881b9a77c181e8b8&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/50fb18d046a14c79881b9a77c181e8b8/explore,https://opendata.kosice.sk/datasets/50fb18d046a14c79881b9a77c181e8b8/explore,csv,text/csv
16,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/3fe6c42ba1f6453e971f295ff913b947/about,„Komunálne voľby 2022 - zoznam zaregistrovaných kandidátov na primátora mesta Košice“@sk,„Dataset obsahuje zoznam zaregistrovaných kandidátov na primátora mesta Košice.“@sk,„https://www.kosice.sk“,REGI,IRREG,"„primátor“@sk, „kandidát“@sk, „voľby“@sk, „samospráva“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=3fe6c42ba1f6453e971f295ff913b947&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/3fe6c42ba1f6453e971f295ff913b947/explore,https://opendata.kosice.sk/datasets/3fe6c42ba1f6453e971f295ff913b947/explore,csv,text/csv
17,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/6d44ef6d8ba64beba1dd8934c17a3b38/about,„Kultúra a voľný čas“@sk,"„Dataset obsahuje zoznam kultúrnych inštitúcií v meste Košice, okrem základných informácií aj telefonický kontakt na inštitúciu.“@sk",„https://www.kosice.sk“,EDUC,IRREG,"„kultúra“@sk, „voľný čas“@sk, „divadlo“@sk, „múzeum“@sk, „galéria“@sk, „folklórny súbor“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=6d44ef6d8ba64beba1dd8934c17a3b38&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/6d44ef6d8ba64beba1dd8934c17a3b38/explore,https://opendata.kosice.sk/datasets/6d44ef6d8ba64beba1dd8934c17a3b38/explore,csv,text/csv
18,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/fe706bd590aa49a6bb7abd0a96f4b17f/about,„Kvalita ovzdušia v meste Košice v rokoch 2010 - 2020“@sk,„Dataset obsahuje vybrané ukazovatele kvality ovzdušia.“@sk,„https://www.kosice.sk“,ENVI,ANNUAL,"„kvalita ovzdušia“@sk, „meracia stanica“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=fe706bd590aa49a6bb7abd0a96f4b17f&view=service,https://creativecommons.org/licenses/by/4.0/,„Slovenský hydrometeorologický ústav“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/fe706bd590aa49a6bb7abd0a96f4b17f/explore,https://opendata.kosice.sk/datasets/fe706bd590aa49a6bb7abd0a96f4b17f/explore,csv,text/csv
19,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/85b4440eaf1041f8b654fd4d72ee8032/about,„Licencie Creative Commons“@sk,„Dataset obsahuje zoznam licencií Creative Commons.“@sk,„https://www.kosice.sk“,REGI,IRREG,"„CC“@sk, „licencia“@sk, „href“@sk, „url“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=85b4440eaf1041f8b654fd4d72ee8032&view=service,https://creativecommons.org/licenses/by/4.0/,„Creative Commons“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/85b4440eaf1041f8b654fd4d72ee8032/explore,https://opendata.kosice.sk/datasets/85b4440eaf1041f8b654fd4d72ee8032/explore,csv,text/csv
20,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/da4daa2f3a994b27a018cf4e12fe4d9b/about,„Materské školy“@sk,„Dataset obsahuje zoznam materských škôl v Košiciach.“@sk,„https://www.kosice.sk“,SOCI,IRREG,"„materské školy“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=da4daa2f3a994b27a018cf4e12fe4d9b&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/da4daa2f3a994b27a018cf4e12fe4d9b/explore,https://opendata.kosice.sk/datasets/da4daa2f3a994b27a018cf4e12fe4d9b/explore,csv,text/csv
21,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/6323640be4234b479f760435a2654c78/about,„Mestská polícia Košice“@sk,„Dataset obsahuje všeobecné informácie o staniciach Mestskej polície Košice.“@sk,„https://www.kosice.sk“,SOCI,IRREG,"„mestská polícia“@sk, „stanica“@sk, „oblasť“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=6323640be4234b479f760435a2654c78&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/6323640be4234b479f760435a2654c78/explore,https://opendata.kosice.sk/datasets/6323640be4234b479f760435a2654c78/explore,csv,text/csv
22,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/e14621b3e8ff40ebbddf065abfd20442/about,„Mestská rada v Košiciach“@sk,„Dataset obsahuje zoznam členov Mestskej rady v Košiciach.“@sk,„https://www.kosice.sk“,REGI,IRREG,"„poslanec“@sk, „mestská rada“@sk, „primátor“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=e14621b3e8ff40ebbddf065abfd20442&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/e14621b3e8ff40ebbddf065abfd20442/explore,https://opendata.kosice.sk/datasets/e14621b3e8ff40ebbddf065abfd20442/explore,csv,text/csv
23,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/37cb4912369c422083fd206450de5a71/about,„Mestské časti“@sk,"„Dataset obsahuje základné informácie o mestskej časti ako webové sídlo mestskej časti, email na mestskú časť a telefónny kontakt.“@sk",„https://www.kosice.sk“,REGI,IRREG,"„mesto“@sk, „mestská časť“@sk, „mestské časti“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=37cb4912369c422083fd206450de5a71&view=service,https://creativecommons.org/licenses/by/4.0/,„None“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/37cb4912369c422083fd206450de5a71/explore,https://opendata.kosice.sk/datasets/37cb4912369c422083fd206450de5a71/explore,csv,text/csv
24,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/0514d9e4151b420a855f4837c7a282ef/about,„Mestské podniky“@sk,"„Dataset obsahuje okrem základných informácií o mestskom podniku (názov, právnu formu, IČO, adresu) aj informáciu o majetkovej účasti mesta Košice, webové sídlo, kontakt a podobne.“@sk",„https://www.kosice.sk“,REGI,IRREG,"„podniky“@sk, „mesto“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=0514d9e4151b420a855f4837c7a282ef&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/0514d9e4151b420a855f4837c7a282ef/explore,https://opendata.kosice.sk/datasets/0514d9e4151b420a855f4837c7a282ef/explore,csv,text/csv
25,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/06d4cb2866c54b43bb1997f7edf86f4d/about,„Objednávky mesta Košice“@sk,„Dataset obsahuje denne aktualizovaný zoznam objednávok.“@sk,„https://www.kosice.sk“,REGI,DAILY,"„objednávka“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=06d4cb2866c54b43bb1997f7edf86f4d&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/06d4cb2866c54b43bb1997f7edf86f4d/explore,https://opendata.kosice.sk/datasets/06d4cb2866c54b43bb1997f7edf86f4d/explore,csv,text/csv
26,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/9f56d6b2f1e743f4bd5d3eea6f45df7e/about,„Poslanci mestského zastupiteľstva - volebné obdobie 2010 - 2014“@sk,"„Dataset obsahuje menný zoznam poslancov za príslušné volebné obdobie, aj s informáciou o ich získanom akademickom titule a politickú príslušnosť.“@sk",„https://www.kosice.sk“,REGI,IRREG,"„poslanec“@sk, „volebne obdobie“@sk, „mestske zastupitelstvo“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=9f56d6b2f1e743f4bd5d3eea6f45df7e&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/9f56d6b2f1e743f4bd5d3eea6f45df7e/explore,https://opendata.kosice.sk/datasets/9f56d6b2f1e743f4bd5d3eea6f45df7e/explore,csv,text/csv
27,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/2a785f5c4dd14601a2ac284d56e83014/about,„Poslanci mestského zastupiteľstva - volebné obdobie 2014 - 2018“@sk,"„Dataset obsahuje menný zoznam poslancov za príslušné volebné obdobie, aj s informáciou o ich získanom akademickom titule a politickú príslušnosť.“@sk",„https://www.kosice.sk“,REGI,IRREG,"„poslanec“@sk, „volebne obdobie“@sk, „mestske zastupitelstvo“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=2a785f5c4dd14601a2ac284d56e83014&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/2a785f5c4dd14601a2ac284d56e83014/explore,https://opendata.kosice.sk/datasets/2a785f5c4dd14601a2ac284d56e83014/explore,csv,text/csv
28,„Lokálny katalóg otvorených údajov mesta Košice“@sk,„Otvorené dáta mesta Košice“@sk,„https://www.kosice.sk“,„opendatake@kosice.sk“,„https://opendata.kosice.sk“,https://opendata.kosice.sk/datasets/9dcf05e343c6481599fe96d03183777a/about,„Poslanci mestského zastupiteľstva - volebné obdobie 2018 - 2022“@sk,"„Dataset obsahuje menný zoznam poslancov za príslušné volebné obdobie, aj s informáciou o ich získanom akademickom titule a politickú príslušnosť.“@sk",„https://www.kosice.sk“,REGI,IRREG,"„poslanec“@sk, „volebne obdobie“@sk, „mestske zastupitelstvo“@sk, ",https://kosice-mesto.maps.arcgis.com/home/item.html?id=9dcf05e343c6481599fe96d03183777a&view=service,https://creativecommons.org/licenses/by/4.0/,„Mesto Košice“,https://creativecommons.org/licenses/by/4.0/,0,https://opendata.kosice.sk/datasets/9dcf05e343c6481599fe96d03183777a/explore,https://opendata.kosice.sk/datasets/9dcf05e343c6481599fe96d03183777a/explore,csv,text/csv
